mouse,distance_microns,grey_value,grey_value_normalised,,
A,270.16,19.5839,0.622086071,7.8261,26.7267
A,270.784,19.882,0.637858057,7.8261,26.7267
A,271.408,19.6957,0.628001227,7.8261,26.7267
A,272.032,18.8385,0.58264817,7.8261,26.7267
A,272.656,18.2609,0.552088293,7.8261,26.7267
A,273.279,18.1553,0.546501169,7.8261,26.7267
A,273.903,18.0497,0.540914045,7.8261,26.7267
A,274.527,17.5031,0.511994328,7.8261,26.7267
A,275.151,17.8758,0.531713279,7.8261,26.7267
A,275.775,18.4596,0.562601187,7.8261,26.7267
A,276.399,18.8012,0.580674688,7.8261,26.7267
A,277.023,17.882,0.532041311,7.8261,26.7267
A,277.647,18.3913,0.558987545,7.8261,26.7267
A,278.271,18.2484,0.551426939,7.8261,26.7267
A,278.895,18.5466,0.567204216,7.8261,26.7267
A,279.519,18.5714,0.568516343,7.8261,26.7267
A,280.143,17.3106,0.501809466,7.8261,26.7267
A,280.767,17.0621,0.488661736,7.8261,26.7267
A,281.391,18.0435,0.540586013,7.8261,26.7267
A,282.014,19.2298,0.603351216,7.8261,26.7267
A,282.638,18.2857,0.553400421,7.8261,26.7267
A,283.262,17.323,0.50246553,7.8261,26.7267
A,283.886,18.3354,0.556029967,7.8261,26.7267
A,284.51,19.1677,0.600065606,7.8261,26.7267
A,285.134,19.5839,0.622086071,7.8261,26.7267
A,285.758,19.2981,0.606964858,7.8261,26.7267
A,286.382,18.9255,0.587251198,7.8261,26.7267
A,287.006,18.4472,0.561945123,7.8261,26.7267
A,287.63,18.9193,0.586923166,7.8261,26.7267
A,288.254,18.3416,0.556357999,7.8261,26.7267
A,288.878,17.8944,0.532697375,7.8261,26.7267
A,289.502,18.1118,0.544199655,7.8261,26.7267
A,290.125,18.9689,0.589547422,7.8261,26.7267
A,290.749,19.9068,0.639170185,7.8261,26.7267
A,291.373,19.5217,0.618795171,7.8261,26.7267
A,291.997,18.3168,0.555045872,7.8261,26.7267
A,292.621,19.1925,0.601377734,7.8261,26.7267
A,293.245,19.4845,0.616826979,7.8261,26.7267
A,293.869,18.559,0.56786028,7.8261,26.7267
A,294.493,19.0994,0.596451964,7.8261,26.7267
A,295.117,19.1615,0.599737574,7.8261,26.7267
A,295.741,18.5466,0.567204216,7.8261,26.7267
A,296.365,17.7205,0.523496609,7.8261,26.7267
A,296.989,16.8944,0.479789001,7.8261,26.7267
A,297.613,16.9379,0.482090516,7.8261,26.7267
A,298.237,17.1801,0.494904924,7.8261,26.7267
A,298.86,16.9752,0.484063998,7.8261,26.7267
A,299.484,17.0932,0.490307186,7.8261,26.7267
A,300.108,17.3665,0.504767044,7.8261,26.7267
A,300.732,18.3106,0.55471784,7.8261,26.7267
A,301.356,19.0745,0.595134546,7.8261,26.7267
A,301.98,18.118,0.544527687,7.8261,26.7267
A,302.604,17.677,0.521195094,7.8261,26.7267
A,303.228,17.3789,0.505423108,7.8261,26.7267
A,303.852,17.4969,0.511666296,7.8261,26.7267
A,304.476,18.0435,0.540586013,7.8261,26.7267
A,305.1,17.7081,0.522840545,7.8261,26.7267
A,305.724,17.6646,0.520539031,7.8261,26.7267
A,306.348,18.2795,0.553072389,7.8261,26.7267
A,306.971,18.1242,0.544855719,7.8261,26.7267
A,307.595,17.3043,0.501476144,7.8261,26.7267
A,308.219,17.4161,0.5073913,7.8261,26.7267
A,308.843,17.9752,0.536972371,7.8261,26.7267
A,309.467,18.0807,0.542554205,7.8261,26.7267
A,310.091,18.1304,0.545183751,7.8261,26.7267
A,310.715,17.8634,0.531057215,7.8261,26.7267
A,311.339,17.4907,0.511338264,7.8261,26.7267
A,311.963,17.5528,0.514623874,7.8261,26.7267
A,312.587,17.9317,0.534670857,7.8261,26.7267
A,313.211,18.5714,0.568516343,7.8261,26.7267
A,313.835,18.3478,0.556686031,7.8261,26.7267
A,314.459,18.1118,0.544199655,7.8261,26.7267
A,315.083,17.882,0.532041311,7.8261,26.7267
A,315.706,16.9193,0.48110642,7.8261,26.7267
A,316.33,16.323,0.449557157,7.8261,26.7267
A,316.954,17.0807,0.489645831,7.8261,26.7267
A,317.578,17.9689,0.536639048,7.8261,26.7267
A,318.202,17.7516,0.525142059,7.8261,26.7267
A,318.826,17.4348,0.508380686,7.8261,26.7267
A,319.45,17.6087,0.517581452,7.8261,26.7267
A,320.074,17.205,0.496222342,7.8261,26.7267
A,320.698,17.0124,0.486032189,7.8261,26.7267
A,321.322,16.8634,0.478148842,7.8261,26.7267
A,321.946,17.4907,0.511338264,7.8261,26.7267
