mouse,distance_microns,grey_value,grey_value_normalised,,
A,252.69,10.7081,0.138740292,5.8634,40.7826
A,253.314,10.3851,0.129490366,5.8634,40.7826
A,253.938,10.2174,0.124687851,5.8634,40.7826
A,254.562,10.2609,0.125933584,5.8634,40.7826
A,255.186,10.4224,0.130558547,5.8634,40.7826
A,255.81,10.8758,0.143542807,5.8634,40.7826
A,256.434,11.0311,0.147990217,5.8634,40.7826
A,257.057,11.0373,0.14816777,5.8634,40.7826
A,257.681,10.6335,0.136603931,5.8634,40.7826
A,258.305,10.1553,0.12290946,5.8634,40.7826
A,258.929,9.764,0.11170359,5.8634,40.7826
A,259.553,9.6708,0.109034571,5.8634,40.7826
A,260.177,9.8385,0.113837087,5.8634,40.7826
A,260.801,9.6832,0.109389677,5.8634,40.7826
A,261.425,10.0062,0.118639602,5.8634,40.7826
A,262.049,9.8571,0.114369745,5.8634,40.7826
A,262.673,10.2422,0.125398062,5.8634,40.7826
A,263.297,9.4224,0.101921006,5.8634,40.7826
A,263.921,9.4037,0.101385484,5.8634,40.7826
A,264.545,10.2298,0.125042956,5.8634,40.7826
A,265.168,10.5652,0.134647987,5.8634,40.7826
A,265.792,10.441,0.131091205,5.8634,40.7826
A,266.416,10.8509,0.142829733,5.8634,40.7826
A,267.04,10.7267,0.13927295,5.8634,40.7826
A,267.664,11.0559,0.148700428,5.8634,40.7826
A,268.288,10.9193,0.14478854,5.8634,40.7826
A,268.912,10.5155,0.133224702,5.8634,40.7826
A,269.536,10.2981,0.1269989,5.8634,40.7826
A,270.16,9.8696,0.114727714,5.8634,40.7826
A,270.784,9.236,0.096582969,5.8634,40.7826
A,271.408,9.0248,0.09053472,5.8634,40.7826
A,272.032,8.7453,0.082530528,5.8634,40.7826
A,272.656,9.0932,0.092493528,5.8634,40.7826
A,273.279,9.4596,0.102986323,5.8634,40.7826
A,273.903,9.4783,0.103521845,5.8634,40.7826
A,274.527,10.3602,0.128777292,5.8634,40.7826
A,275.151,10.4596,0.131623863,5.8634,40.7826
A,275.775,9.8634,0.114550162,5.8634,40.7826
A,276.399,9.6398,0.108146807,5.8634,40.7826
A,277.023,9.6335,0.107966391,5.8634,40.7826
A,277.647,9.8696,0.114727714,5.8634,40.7826
A,278.271,9.5155,0.104587161,5.8634,40.7826
A,278.895,9.7329,0.110812962,5.8634,40.7826
A,279.519,9.3851,0.100852826,5.8634,40.7826
A,280.143,9.2609,0.097296043,5.8634,40.7826
A,280.767,9.5714,0.106188,5.8634,40.7826
A,281.391,9.6273,0.107788838,5.8634,40.7826
A,282.014,10.4658,0.131801416,5.8634,40.7826
A,282.638,10.3975,0.129845472,5.8634,40.7826
A,283.262,10.6708,0.137672112,5.8634,40.7826
A,283.886,10.559,0.134470435,5.8634,40.7826
A,284.51,10.7329,0.139450503,5.8634,40.7826
A,285.134,10.1863,0.123797223,5.8634,40.7826
A,285.758,9.7081,0.110102751,5.8634,40.7826
A,286.382,9.4907,0.10387695,5.8634,40.7826
A,287.006,9.2981,0.09836136,5.8634,40.7826
A,287.63,8.9068,0.08715549,5.8634,40.7826
A,288.254,8.9938,0.089646956,5.8634,40.7826
A,288.878,8.3727,0.07186018,5.8634,40.7826
A,289.502,8.8882,0.086622832,5.8634,40.7826
A,290.125,9.1491,0.094094366,5.8634,40.7826
A,290.749,9.0248,0.09053472,5.8634,40.7826
A,291.373,9.1553,0.094271919,5.8634,40.7826
A,291.997,9.2112,0.095872758,5.8634,40.7826
A,292.621,9.8571,0.114369745,5.8634,40.7826
A,293.245,10.2174,0.124687851,5.8634,40.7826
A,293.869,9.4161,0.10174059,5.8634,40.7826
A,294.493,9.528,0.10494513,5.8634,40.7826
A,295.117,9.7578,0.111526037,5.8634,40.7826
A,295.741,9.913,0.115970584,5.8634,40.7826
A,296.365,9.559,0.105832894,5.8634,40.7826
A,296.989,9.2857,0.098006254,5.8634,40.7826
A,297.613,8.8075,0.084311783,5.8634,40.7826
A,298.237,9.2484,0.096938074,5.8634,40.7826
A,298.86,9.0932,0.092493528,5.8634,40.7826
A,299.484,9.236,0.096582969,5.8634,40.7826
A,300.108,9.5528,0.105655341,5.8634,40.7826
A,300.732,9.9752,0.117751839,5.8634,40.7826
A,301.356,9.9876,0.118106944,5.8634,40.7826
A,301.98,9.9255,0.116328553,5.8634,40.7826
A,302.604,9.5031,0.104232056,5.8634,40.7826
A,303.228,10.0248,0.119172261,5.8634,40.7826
A,303.852,9.7019,0.109925199,5.8634,40.7826
A,304.476,9.4099,0.101563037,5.8634,40.7826
A,305.1,9.5404,0.105300236,5.8634,40.7826
A,305.724,10.0062,0.118639602,5.8634,40.7826
A,306.348,10.1615,0.123087012,5.8634,40.7826
A,306.971,9.6894,0.109567229,5.8634,40.7826
A,307.595,9.0559,0.091425348,5.8634,40.7826
A,308.219,9.2609,0.097296043,5.8634,40.7826
A,308.843,8.5093,0.075772068,5.8634,40.7826
A,309.467,8.7081,0.081465211,5.8634,40.7826
A,310.091,8.9938,0.089646956,5.8634,40.7826
A,310.715,8.5404,0.076662696,5.8634,40.7826
A,311.339,8.9317,0.087868565,5.8634,40.7826
A,311.963,9.1242,0.093381292,5.8634,40.7826
A,312.587,8.4658,0.074526335,5.8634,40.7826
A,313.211,8.7516,0.082710944,5.8634,40.7826
A,313.835,8.9317,0.087868565,5.8634,40.7826
A,314.459,8.9068,0.08715549,5.8634,40.7826
A,315.083,9.677,0.109212124,5.8634,40.7826
A,315.706,9.6211,0.107611285,5.8634,40.7826
A,316.33,9.9876,0.118106944,5.8634,40.7826
A,316.954,9.5031,0.104232056,5.8634,40.7826
A,317.578,8.6832,0.080752136,5.8634,40.7826
A,318.202,8.7702,0.083243602,5.8634,40.7826
A,318.826,9.8758,0.114905267,5.8634,40.7826
A,319.45,9.5031,0.104232056,5.8634,40.7826
A,320.074,9.0373,0.090892689,5.8634,40.7826
A,320.698,9.2422,0.096760521,5.8634,40.7826
A,321.322,9.3106,0.098719329,5.8634,40.7826
A,321.946,8.9689,0.088933882,5.8634,40.7826
