mouse,distance_microns,grey_value,grey_value_normalised,,
A,154.11,0.5901,0.024394705,0.1366,18.7267
A,154.734,0.4286,0.015707285,0.1366,18.7267
A,155.358,0.528,0.021054217,0.1366,18.7267
A,155.981,0.559,0.022721771,0.1366,18.7267
A,156.605,0.6025,0.025061726,0.1366,18.7267
A,157.229,0.3789,0.013033819,0.1366,18.7267
A,157.853,0.5093,0.020048305,0.1366,18.7267
A,158.477,0.4969,0.019381284,0.1366,18.7267
A,159.101,0.5963,0.024728216,0.1366,18.7267
A,159.725,0.5901,0.024394705,0.1366,18.7267
A,160.349,0.6832,0.029402747,0.1366,18.7267
A,160.973,0.4658,0.01770835,0.1366,18.7267
A,161.597,0.5093,0.020048305,0.1366,18.7267
A,162.221,0.4845,0.018714262,0.1366,18.7267
A,162.845,0.4534,0.017041328,0.1366,18.7267
A,163.469,0.4907,0.019047773,0.1366,18.7267
A,164.092,0.5776,0.023722304,0.1366,18.7267
A,164.716,0.5528,0.02238826,0.1366,18.7267
A,165.34,0.6894,0.029736257,0.1366,18.7267
A,165.964,0.5963,0.024728216,0.1366,18.7267
A,166.588,0.6087,0.025395237,0.1366,18.7267
A,167.212,0.5839,0.024061194,0.1366,18.7267
A,167.836,0.3975,0.014034352,0.1366,18.7267
A,168.46,0.4907,0.019047773,0.1366,18.7267
A,169.084,0.4658,0.01770835,0.1366,18.7267
A,169.708,0.5404,0.021721239,0.1366,18.7267
A,170.332,0.4534,0.017041328,0.1366,18.7267
A,170.956,0.4472,0.016707818,0.1366,18.7267
A,171.58,0.6025,0.025061726,0.1366,18.7267
A,172.204,0.6025,0.025061726,0.1366,18.7267
A,172.827,0.5031,0.019714794,0.1366,18.7267
A,173.451,0.4472,0.016707818,0.1366,18.7267
A,174.075,0.4472,0.016707818,0.1366,18.7267
A,174.699,0.441,0.016374307,0.1366,18.7267
A,175.323,0.4286,0.015707285,0.1366,18.7267
A,175.947,0.5093,0.020048305,0.1366,18.7267
A,176.571,0.4161,0.015034884,0.1366,18.7267
A,177.195,0.441,0.016374307,0.1366,18.7267
A,177.819,0.5404,0.021721239,0.1366,18.7267
A,178.443,0.5963,0.024728216,0.1366,18.7267
A,179.067,0.5839,0.024061194,0.1366,18.7267
A,179.691,0.5839,0.024061194,0.1366,18.7267
A,180.315,0.6087,0.025395237,0.1366,18.7267
A,180.938,0.559,0.022721771,0.1366,18.7267
A,181.562,0.5839,0.024061194,0.1366,18.7267
A,182.186,0.7516,0.033082124,0.1366,18.7267
A,182.81,0.6894,0.029736257,0.1366,18.7267
A,183.434,0.5776,0.023722304,0.1366,18.7267
A,184.058,0.5652,0.023055282,0.1366,18.7267
A,184.682,0.5776,0.023722304,0.1366,18.7267
A,185.306,0.5031,0.019714794,0.1366,18.7267
A,185.93,0.4224,0.015373774,0.1366,18.7267
A,186.554,0.4907,0.019047773,0.1366,18.7267
A,187.178,0.559,0.022721771,0.1366,18.7267
A,187.802,0.4783,0.018380751,0.1366,18.7267
A,188.426,0.5155,0.020381816,0.1366,18.7267
A,189.05,0.5031,0.019714794,0.1366,18.7267
A,189.673,0.4224,0.015373774,0.1366,18.7267
A,190.297,0.4286,0.015707285,0.1366,18.7267
A,190.921,0.4037,0.014367862,0.1366,18.7267
A,191.545,0.472,0.018041861,0.1366,18.7267
A,192.169,0.441,0.016374307,0.1366,18.7267
A,192.793,0.3478,0.011360886,0.1366,18.7267
A,193.417,0.4286,0.015707285,0.1366,18.7267
A,194.041,0.4534,0.017041328,0.1366,18.7267
A,194.665,0.4286,0.015707285,0.1366,18.7267
A,195.289,0.4845,0.018714262,0.1366,18.7267
A,195.913,0.4286,0.015707285,0.1366,18.7267
A,196.537,0.354,0.011694396,0.1366,18.7267
A,197.161,0.2857,0.008020398,0.1366,18.7267
A,197.784,0.3789,0.013033819,0.1366,18.7267
A,198.408,0.354,0.011694396,0.1366,18.7267
A,199.032,0.4658,0.01770835,0.1366,18.7267
A,199.656,0.4534,0.017041328,0.1366,18.7267
A,200.28,0.2981,0.00868742,0.1366,18.7267
A,200.904,0.3851,0.01336733,0.1366,18.7267
A,201.528,0.6522,0.027735192,0.1366,18.7267
A,202.152,0.5466,0.02205475,0.1366,18.7267
A,202.776,0.4845,0.018714262,0.1366,18.7267
A,203.4,0.4907,0.019047773,0.1366,18.7267
A,204.024,0.441,0.016374307,0.1366,18.7267
A,204.648,0.1988,0.003345867,0.1366,18.7267
A,205.272,0.2981,0.00868742,0.1366,18.7267
A,205.896,0.1801,0.002339955,0.1366,18.7267
A,206.519,0.2981,0.00868742,0.1366,18.7267
A,207.143,0.3789,0.013033819,0.1366,18.7267
A,207.767,0.2671,0.007019865,0.1366,18.7267
A,208.391,0.2981,0.00868742,0.1366,18.7267
A,209.015,0.2422,0.005680443,0.1366,18.7267
A,209.639,0.2422,0.005680443,0.1366,18.7267
A,210.263,0.1615,0.001339423,0.1366,18.7267
A,210.887,0.205,0.003679378,0.1366,18.7267
A,211.511,0.3727,0.012700308,0.1366,18.7267
A,212.135,0.3913,0.013700841,0.1366,18.7267
A,212.759,0.2857,0.008020398,0.1366,18.7267
A,213.383,0.3043,0.00902093,0.1366,18.7267
A,214.007,0.2919,0.008353909,0.1366,18.7267
A,214.63,0.3106,0.009359821,0.1366,18.7267
A,215.254,0.2795,0.007686887,0.1366,18.7267
A,215.878,0.3292,0.010360353,0.1366,18.7267
A,216.502,0.2236,0.00467991,0.1366,18.7267
A,217.126,0.3043,0.00902093,0.1366,18.7267
A,217.75,0.354,0.011694396,0.1366,18.7267
A,218.374,0.3292,0.010360353,0.1366,18.7267
A,218.998,0.3168,0.009693331,0.1366,18.7267
A,219.622,0.3416,0.011027375,0.1366,18.7267
A,220.246,0.3354,0.010693864,0.1366,18.7267
A,220.87,0.3727,0.012700308,0.1366,18.7267
A,221.494,0.2671,0.007019865,0.1366,18.7267
A,222.118,0.2298,0.005013421,0.1366,18.7267
A,222.742,0.2422,0.005680443,0.1366,18.7267
A,223.365,0.2236,0.00467991,0.1366,18.7267
A,223.989,0.2733,0.007353376,0.1366,18.7267
A,224.613,0.3665,0.012366797,0.1366,18.7267
A,225.237,0.2795,0.007686887,0.1366,18.7267
A,225.861,0.3354,0.010693864,0.1366,18.7267
A,226.485,0.2981,0.00868742,0.1366,18.7267
A,227.109,0.2733,0.007353376,0.1366,18.7267
A,227.733,0.205,0.003679378,0.1366,18.7267
A,228.357,0.1366,0,0.1366,18.7267
A,228.981,0.3043,0.00902093,0.1366,18.7267
A,229.605,0.2857,0.008020398,0.1366,18.7267
A,230.229,0.1677,0.001672933,0.1366,18.7267
A,230.853,0.2795,0.007686887,0.1366,18.7267
A,231.476,0.3168,0.009693331,0.1366,18.7267
A,232.1,0.2609,0.006686355,0.1366,18.7267
A,232.724,0.1615,0.001339423,0.1366,18.7267
A,233.348,0.2733,0.007353376,0.1366,18.7267
A,233.972,0.3602,0.012027907,0.1366,18.7267
A,234.596,0.3665,0.012366797,0.1366,18.7267
A,235.22,0.2174,0.004346399,0.1366,18.7267
A,235.844,0.2236,0.00467991,0.1366,18.7267
A,236.468,0.2981,0.00868742,0.1366,18.7267
A,237.092,0.4783,0.018380751,0.1366,18.7267
A,237.716,0.4286,0.015707285,0.1366,18.7267
A,238.34,0.4099,0.014701373,0.1366,18.7267
A,238.964,0.3043,0.00902093,0.1366,18.7267
A,239.587,0.236,0.005346932,0.1366,18.7267
A,240.211,0.2236,0.00467991,0.1366,18.7267
A,240.835,0.2609,0.006686355,0.1366,18.7267
A,241.459,0.3416,0.011027375,0.1366,18.7267
A,242.083,0.3292,0.010360353,0.1366,18.7267
A,242.707,0.1863,0.002673466,0.1366,18.7267
A,243.331,0.2484,0.006013954,0.1366,18.7267
A,243.955,0.2981,0.00868742,0.1366,18.7267
A,244.579,0.3106,0.009359821,0.1366,18.7267
A,245.203,0.2547,0.006352844,0.1366,18.7267
A,245.827,0.3478,0.011360886,0.1366,18.7267
A,246.451,0.4099,0.014701373,0.1366,18.7267
A,247.075,0.3789,0.013033819,0.1366,18.7267
A,247.699,0.354,0.011694396,0.1366,18.7267
A,248.322,0.3106,0.009359821,0.1366,18.7267
A,248.946,0.323,0.010026842,0.1366,18.7267
A,249.57,0.323,0.010026842,0.1366,18.7267
A,250.194,0.3106,0.009359821,0.1366,18.7267
A,250.818,0.3851,0.01336733,0.1366,18.7267
A,251.442,0.528,0.021054217,0.1366,18.7267
A,252.066,0.4099,0.014701373,0.1366,18.7267
A,252.69,0.3975,0.014034352,0.1366,18.7267
A,253.314,0.3292,0.010360353,0.1366,18.7267
A,253.938,0.3354,0.010693864,0.1366,18.7267
A,254.562,0.2981,0.00868742,0.1366,18.7267
A,255.186,0.2857,0.008020398,0.1366,18.7267
A,255.81,0.323,0.010026842,0.1366,18.7267
A,256.434,0.4161,0.015034884,0.1366,18.7267
A,257.057,0.3665,0.012366797,0.1366,18.7267
A,257.681,0.4783,0.018380751,0.1366,18.7267
A,258.305,0.4348,0.016040796,0.1366,18.7267
A,258.929,0.472,0.018041861,0.1366,18.7267
A,259.553,0.4161,0.015034884,0.1366,18.7267
A,260.177,0.4224,0.015373774,0.1366,18.7267
A,260.801,0.4161,0.015034884,0.1366,18.7267
A,261.425,0.4286,0.015707285,0.1366,18.7267
A,262.049,0.3354,0.010693864,0.1366,18.7267
A,262.673,0.4658,0.01770835,0.1366,18.7267
A,263.297,0.528,0.021054217,0.1366,18.7267
A,263.921,0.5342,0.021387728,0.1366,18.7267
A,264.545,0.4969,0.019381284,0.1366,18.7267
A,265.168,0.3354,0.010693864,0.1366,18.7267
A,265.792,0.2919,0.008353909,0.1366,18.7267
A,266.416,0.3478,0.011360886,0.1366,18.7267
A,267.04,0.4658,0.01770835,0.1366,18.7267
A,267.664,0.4658,0.01770835,0.1366,18.7267
A,268.288,0.3789,0.013033819,0.1366,18.7267
A,268.912,0.3727,0.012700308,0.1366,18.7267
A,269.536,0.3789,0.013033819,0.1366,18.7267
A,270.16,0.3354,0.010693864,0.1366,18.7267
A,270.784,0.3789,0.013033819,0.1366,18.7267
A,271.408,0.3851,0.01336733,0.1366,18.7267
A,272.032,0.3292,0.010360353,0.1366,18.7267
A,272.656,0.4783,0.018380751,0.1366,18.7267
A,273.279,0.4534,0.017041328,0.1366,18.7267
A,273.903,0.4224,0.015373774,0.1366,18.7267
A,274.527,0.3789,0.013033819,0.1366,18.7267
A,275.151,0.3913,0.013700841,0.1366,18.7267
A,275.775,0.3913,0.013700841,0.1366,18.7267
A,276.399,0.3478,0.011360886,0.1366,18.7267
A,277.023,0.4348,0.016040796,0.1366,18.7267
A,277.647,0.3416,0.011027375,0.1366,18.7267
A,278.271,0.3975,0.014034352,0.1366,18.7267
A,278.895,0.4534,0.017041328,0.1366,18.7267
A,279.519,0.4907,0.019047773,0.1366,18.7267
A,280.143,0.5155,0.020381816,0.1366,18.7267
A,280.767,0.4224,0.015373774,0.1366,18.7267
A,281.391,0.4286,0.015707285,0.1366,18.7267
A,282.014,0.3665,0.012366797,0.1366,18.7267
A,282.638,0.3975,0.014034352,0.1366,18.7267
A,283.262,0.323,0.010026842,0.1366,18.7267
A,283.886,0.3727,0.012700308,0.1366,18.7267
A,284.51,0.4472,0.016707818,0.1366,18.7267
A,285.134,0.4224,0.015373774,0.1366,18.7267
A,285.758,0.4099,0.014701373,0.1366,18.7267
A,286.382,0.5839,0.024061194,0.1366,18.7267
A,287.006,0.4969,0.019381284,0.1366,18.7267
A,287.63,0.4348,0.016040796,0.1366,18.7267
A,288.254,0.4099,0.014701373,0.1366,18.7267
A,288.878,0.5031,0.019714794,0.1366,18.7267
A,289.502,0.4845,0.018714262,0.1366,18.7267
A,290.125,0.6957,0.030075148,0.1366,18.7267
A,290.749,0.5528,0.02238826,0.1366,18.7267
A,291.373,0.4534,0.017041328,0.1366,18.7267
A,291.997,0.5217,0.020715327,0.1366,18.7267
A,292.621,0.6273,0.02639577,0.1366,18.7267
A,293.245,0.4286,0.015707285,0.1366,18.7267
A,293.869,0.5404,0.021721239,0.1366,18.7267
A,294.493,0.4783,0.018380751,0.1366,18.7267
A,295.117,0.4472,0.016707818,0.1366,18.7267
A,295.741,0.6335,0.026729281,0.1366,18.7267
A,296.365,0.6149,0.025728748,0.1366,18.7267
A,296.989,0.5466,0.02205475,0.1366,18.7267
A,297.613,0.5155,0.020381816,0.1366,18.7267
A,298.237,0.5776,0.023722304,0.1366,18.7267
A,298.86,0.5217,0.020715327,0.1366,18.7267
A,299.484,0.5342,0.021387728,0.1366,18.7267
A,300.108,0.528,0.021054217,0.1366,18.7267
A,300.732,0.5155,0.020381816,0.1366,18.7267
A,301.356,0.5528,0.02238826,0.1366,18.7267
A,301.98,0.6273,0.02639577,0.1366,18.7267
A,302.604,0.6273,0.02639577,0.1366,18.7267
A,303.228,0.528,0.021054217,0.1366,18.7267
A,303.852,0.6087,0.025395237,0.1366,18.7267
A,304.476,0.646,0.027401682,0.1366,18.7267
A,305.1,0.6398,0.027068171,0.1366,18.7267
A,305.724,0.6708,0.028735725,0.1366,18.7267
A,306.348,0.5776,0.023722304,0.1366,18.7267
A,306.971,0.3789,0.013033819,0.1366,18.7267
A,307.595,0.441,0.016374307,0.1366,18.7267
A,308.219,0.559,0.022721771,0.1366,18.7267
A,308.843,0.5963,0.024728216,0.1366,18.7267
A,309.467,0.7516,0.033082124,0.1366,18.7267
A,310.091,0.5528,0.02238826,0.1366,18.7267
A,310.715,0.4472,0.016707818,0.1366,18.7267
A,311.339,0.4596,0.017374839,0.1366,18.7267
