cell,,animal,layer,type,vm,ir_neg,ir_pos,tm_on,tm_neg_off,tm_pos_on,tm_pos_off,sag,ap_thresh,ap_max,ap_halfwidth,rheobase,ahp_max,res_freq,res_mag,morphology_confirmed,dv,dist_psub,expression,response,epsp_tval,epsp_pval,epsp_sig,ipsp_tval,ipsp_pval,ipsp_sig,response_type,biphasic,subthreshold,baseline_vm,epsp,epsp_sd,epsp_pk,epsp_pk_sd,epsp_latency,epsp_latency_sd,epsp_halfwidth,ipsp,ipsp_sd,ipsp_pk,ipsp_pk_sd,ipsp_latency,ipsp_halfwidth,ei,ei_pk,interneuron_type
576_S3C1,,576,l2,l2_pc,-73.398,141.886,335.232,18.0762,20.2036,27.6023,49.1757,0.932732,-25.1375,30.6125,0.65,103.75,-50.2812,1,1,Y,4.88,NA,Axonal,Y,46.7,0,Y,-23,0,Y,biphasic,Y,Y,-66.973098,26.128602,3.958755111,30.54583636,1.77149541,2.75596,0.074410324,13.4657072,-4.156339,1.279074576,-3.063540455,1.37059534,65.66298,27.71835136,0.862758887,0.908848639,NA
599_S1C1,,599,l2,l2_pc,-66.5181,86.7442,148.559,19.5819,19.3769,24.5203,36.0801,0.708108,-41.6063,48.85,0.57,106.25,-57.625,5,1.094,N,4.44,80.03,Y,Y,42.4,0,Y,-16,0,Y,biphasic,Y,Y,-66.48291714,3.359183429,0.468960219,3.598979429,0.449382728,2.475342857,0.421116439,25.08741143,-0.826232743,0.265603339,-1.150127429,0.184451394,NA,NA,0.802592452,0.757822373,NA
675_S3C1,,675,l2,l2_pc,-68.2503,153.509,216.474,5.76133,7.2342,8.02113,9.49792,0.918207,-32.9219,31.205,0.51,119.375,-53.8438,1.5,1.086,N,4.28,380.106,Y,Y,23,0,Y,NA,NA,NA,epsp,N,Y,-67.59503,11.0699685,2.150690275,11.2972005,2.143092437,2.10905,0.165298605,19.14563,NA,NA,-0.7891988,0.380499277,NA,NA,1,0.934703564,NA
739_S2C2,,739,l2,l2_pc,-62.8786,44.8545,57.7426,17.2023,17.1468,21.1997,22.1843,0.692681,-43.9256,51.1887,0.46,156.875,-57.4125,5,1.2299,Y,3.28,405.91,Axonal,N,NA,NA,NA,NA,NA,NA,none,N,Y,-63.48327,NA,NA,0.520962384,0.290092531,NA,NA,NA,NA,NA,-0.63728866,0.371785239,NA,NA,NA,NA,NA
806_S3C1,,806,l2,l2_pc,-73.4124,194.701,222.963,20.2783,17.729,15.3664,23.4797,0.893947,NA,NA,NA,NA,NA,1.05,1.1152,N,3.96,508.874,Axonal,N,NA,NA,NA,NA,NA,NA,none,N,Y,-70.3653,NA,NA,0.8272821,0.859918749,NA,NA,NA,NA,NA,-0.9845925,0.67863613,NA,NA,NA,NA,NA
811_S5C1,,811,l2,l2_pc,-71.2965,254.25,289.441,25.3897,30.0941,30.0174,50.8802,0.876083,-48.2412,36.145,0.72,52.5,-62.55,1.333,1.058,N,3.76,288.351,Y,N,NA,NA,NA,NA,NA,NA,none,N,Y,-65.114452,NA,NA,0.600078206,0.689334571,NA,NA,NA,NA,NA,-0.711046515,0.661084041,NA,NA,NA,NA,NA
926_S2C1,,926,l2,l2_pc,-66.052,58.8659,90.9131,13.7414,14.8043,16.3185,23.9864,0.829082,-42.4719,48.6175,0.35,130,-57.6875,6.1667,1.0114,Y,2.8,569.4,Axonal,N,NA,NA,NA,NA,NA,NA,none,N,Y,-66.869468,NA,NA,0.534458129,0.260863517,NA,NA,NA,NA,NA,-0.44191618,0.168130301,NA,NA,NA,NA,NA
949_S1C1,,949,l2,l2_pc,-61.4869,100.005,98.8314,28.7221,16.0215,52.0882,16.0782,0.70551,-43.2563,49.6063,0.58,102.5,-56.625,NA,NA,Y,4.28,80.959,Y,Y,19.9,0,Y,-22.4,0,Y,biphasic,Y,Y,-61.047902,1.43212792,0.506498529,1.67627786,0.490346982,3.3569,0.917006468,9.96511375,-2.30288306,0.727290608,-2.61147204,0.738852731,25.41792,26.71562435,0.38343339,0.390945811,NA
n_950_S2C1_J,,950,l2,l2_pc,-67.7706,180.266,-180.266,14.6261,14.1906,14.6261,14.1906,-55.4709,NA,NA,NA,NA,NA,NA,NA,Y,4.56,5.63,Y,Y,13,0,Y,-1.4,0.174,N,epsp,N,Y,-70.45314,1.007060525,0.356250924,1.182912875,0.602480683,4.59155,6.560494419,12.5744102,NA,NA,-0.528809025,0.181835445,NA,NA,1,0.69106604,NA
956_S3C1,,956,l2,l2_pc,-75.5143,70.3596,125.657,13.1903,12.6771,12.9034,15.157,0.838939,-37.2188,48.1275,0.6,-130,-56.3188,1.6667,1.1495,Y,3.76,93.499,Axonal,Y,11.9,0,Y,NA,NA,NA,epsp,N,Y,-70.287035,4.5609068,2.415590013,4.773592925,2.471892492,2.915645161,0.789934282,16.66763161,NA,NA,-0.42187602,6.18981949,NA,NA,1,0.918799241,NA
n_956_S2C4_J,,956,l2,l2_pc,-80.7373,139.612,200.679,14.4791,12.8795,20.7612,17.1603,0.903335,NA,NA,NA,NA,NA,NA,NA,N,2.68,609.249,N,Y,8.2,0,Y,NA,NA,NA,epsp,N,Y,-70.67629744,0.869793928,0.664557096,1.189674026,0.685002053,NA,NA,NA,NA,NA,-0.556400403,0.445682929,NA,NA,1,0.681342104,NA
